Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,Full.Address,Benchmark 2017 Status,2017 Reason for Exemption,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
3958/006,Kleinen Square,300 KANSAS ST,94103,28861,Office,"300 KANSAS ST
SAN FRANCISCO, CA 94103
(37.765692, -122.403628)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3958/006,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,88,20.3,63.8,-42.6,-42.6,47.8,1.7,20.3,63.8,88,20.1,63.1,-42.2,-42.2,47.3,1.6,20.1,63.1,82,24.4,76.6,-33.9,-34,61.9,2.1,24.4,76.6,84,23.4,78.3,-36.5,,61.44,,23.4,78.3,,,,,,,,,
0236/017,100 California,100 CALIFORNIA ST,94111,305853,Office,"100 CALIFORNIA ST
SAN FRANCISCO, CA 94111
(37.793515, -122.397952)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0236/017,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2019-04-01T00:00:00,Exempt - LEED EBOM,2014-04-01T00:00:00,,,,,,,,,,89,62.6,147.6,-43.2,-43.2,1420,4.6,65.7,150.9,92,51.3,134.6,-48.9,-48.9,1169.8,3.8,52.7,136.1,91,50.5,138.5,-46.9,-46.9,1175.8,3.8,52.9,140.9,,,,,,,,,,85,62.6,170.9,-38.5,,1547.4,,61.7,170,89,59.1,,-43.1,,1449.08,,57.2,
5203/041,Plant - 300 Newhall Street,300 Newhall Street,94124,102612,Non-Refrigerated Warehouse,"300 Newhall Street
SAN FRANCISCO, CA 94124
(37.74261, -122.385392)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=5203/041,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,66,36.4,96.6,-16.6,-16.6,158.9,2.9,37.5,97.7,70,35.1,91.7,-20.8,-20.8,144.4,2.6,36.1,92.7,72,33,88.6,-22.8,-22.8,137.5,2.5,35.5,91.2,77,34.6,85.1,-28.1,-28.1,138.4,2.5,33.4,83.8,80,32.5,80.4,-31.9,,152.6,,32.5,80.4,83,29.5,,-35.9,,145.89,,29.5,
5239/024,1275 Fairfax Avenue,1275 FAIRFAX AVE,94124,34320,Office,"1275 FAIRFAX AVE
SAN FRANCISCO, CA 94124
(37.73886, -122.382795)",Complied,,http://propertymap.sfplanning.org/?&search=5239/024,Complied,,Complied,,Exempt,Exempt - Vacant,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,17.9,56.1,-62.1,-62.1,42.2,1.4,18.2,57.3,,17.4,54.7,-63,-63,47.1,1.5,17.4,54.7,,10.7,33.6,-77.3,-77.3,27.1,0.9,10.7,33.6,,,,,,,,,,,27.9,87.5,-40.8,-40.9,76.3,2.5,27.9,87.5,,28.1,93.7,-58.7,,79.34,,28.1,93.7,,,,,,,,,
0261/010A,351 California Street,351 CALIFORNIA ST,94104,137068,Office,"351 CALIFORNIA ST
SAN FRANCISCO, CA 94104
(37.793105, -122.400855)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=0261/010A,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,83,47.3,130.9,-35.5,-35.5,465.6,3.4,50.6,134.4,77,59.1,145.8,-29.1,-29.1,604.3,4.4,61.6,148.7,79,54.1,140.8,-30.6,-30.6,564.2,4.1,58.8,146.1,81,44.1,138.6,-33.3,-33.3,531.9,3.9,44.1,138.6,96,35.6,92,-56.3,,431.8,,34.6,90.7,100,38.3,,-81.8,,465,,34.9,
3775/042,21 South Park,21 SOUTH PARK,94107,24812,Office,"21 SOUTH PARK
SAN FRANCISCO, CA 94107
(37.781883, -122.393291)",Complied,,http://propertymap.sfplanning.org/?&search=3775/042,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,97,19.9,54.2,-59.4,-59.4,35.2,1.4,20.1,53.4,98,17.7,49.2,-61.4,-61.4,35.6,1.4,18.7,49.4,99,16,44.2,-66.9,-66.9,30.3,1.2,16.4,44.7,99,15.9,45.3,-67.8,-67.8,30.6,1.2,16.6,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3722/007,149 New Montgomery,149 NEW MONTGOMERY ST,94105,67807,Office,"149 NEW MONTGOMERY ST
SAN FRANCISCO, CA 94105
(37.786642, -122.399513)",Complied,,http://propertymap.sfplanning.org/?&search=3722/007,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2012-11-15T00:00:00,49,92.9,191.1,0.5,0.5,403.6,6,92.9,191.1,66,59.7,155.4,-16.7,-16.7,316.3,4.7,61.6,157.4,53,77.7,182.4,-4,-4,372.8,5.5,77.7,182.4,55,67.2,176.4,-5.8,-5.8,339.5,5,68.6,176.9,57,67.1,177,-7.7,-7.7,361.8,5.3,67.3,177.2,93,53.6,153.8,-52.8,,256.05,,52.8,153,95,46.3,,-57.9,,260.76,,45.4,
3711/005,PGE-GO Complex 102_245M_77BL,245 Market Street,94105,1751470,Office,"245 Market Street
SAN FRANCISCO, CA 94105
(37.792896, -122.396801)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3711/005,Violation - Did Not Report,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Violation - Insufficient Data,,Complied,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Exempt - ENERGY STAR,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,96,72.2,191.7,-46.7,-46.7,8541.3,5.4,73.3,191.9,95,71.2,191.6,-45.9,-45.9,8479,5.4,74,194.5,,,,,,,,,,93,85.9,238.1,-36.9,,11051.14,,85.1,237.3,,,,,,,,,
8721/011,550 Terry Francois,550 Terry Francois Street,94107,313575,Office,"550 Terry Francois Street
SAN FRANCISCO, CA 94107
(37.769469, -122.386329)",Complied,,http://propertymap.sfplanning.org/?&search=8721/011,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2019-04-01T00:00:00,Exempt - LEED EBOM,2014-04-01T00:00:00,85,64.9,174.7,-37.8,-37.8,1444,4.6,65,174,85,63.4,173.2,-37.9,-37.9,1593.7,5.1,63.6,172.7,82,66.7,181.4,-34.9,-34.9,1585.5,5.1,66.8,180,86,60.8,167.5,-39.5,-39.5,1455.1,4.6,61.2,164.8,86,63.3,170.4,-40.1,-40.1,1497.2,4.8,62.8,171.8,83,63.3,181.1,-36.3,,1649.55,,62.3,180,90,61.8,,-42.5,,1543.29,,61.8,
0270/007,410-Stephens Institute,410 BUSH ST,94108,43557,College/University,"410 BUSH ST
SAN FRANCISCO, CA 94108
(37.7907, -122.404455)",Complied,,http://propertymap.sfplanning.org/?&search=0270/007,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,78.2,170.4,-35.1,-35.1,242,5.6,85.1,178.8,,81.9,178.8,-31.9,-31.9,273.3,6.3,88.7,186.9,,76.2,169.7,-35.4,-35.4,246.2,5.7,80.1,176.8,,69.2,158.6,-39.6,-39.6,224.7,5.2,69.2,158.6,,36.1,108.9,-58.6,-58.5,135.1,3.1,36.1,108.9,,62.4,201,-40,,241.6,,62.4,201,,,,,,,,,
3777/055,E.M. Hundley Hardware,617 BRYANT ST,94107,13000,Retail Store,"617 BRYANT ST
SAN FRANCISCO, CA 94107
(37.779219, -122.398518)",Complied,,http://propertymap.sfplanning.org/?&search=3777/055,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,24.5,52.7,-54,-54,20.7,1.6,26.9,55.2,,23.5,52.5,-54.1,-54.1,22.1,1.7,27.9,56.6,,23.7,53.8,-53,-53,21.5,1.7,24.7,54.4,,26.2,56.1,-51,-51,23.2,1.8,30.3,59.7,,28.5,56.8,-50.4,-50.4,24.5,1.9,28.9,57.2,,,,,,,,,,,,,,,,,,
0260/007,340 PINE ST,340 PINE ST,94104,57000,Office,"340 PINE ST
SAN FRANCISCO, CA 94104
(37.792016, -122.401638)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0260/007,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Pending - Contracted,2013-04-01T00:00:00,,,,,,,,,,60,87.8,159.8,-10.6,-10.6,307.7,5.4,88.8,159,63,84.2,156.3,,,307.6,5.4,85.4,157.5,70,78.2,141.8,,,283,5,80.7,144.4,67,85.5,150.6,,,306.1,5.4,85.7,150.8,,,,,,,,,,,,,,,,,,
0057/001,1700 Montgomery,1700 MONTGOMERY ST,94111,142446,Office,"1700 MONTGOMERY ST
SAN FRANCISCO, CA 94111
(37.805197, -122.40528)",Complied,,http://propertymap.sfplanning.org/?&search=0057/001,Complied,,Complied,,Exempt,,Complied,,Complied,,Complied,,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,90,48.9,123.3,-46,-46,481.1,3.4,50.3,124.8,89,51.8,136.6,-43.9,-43.9,580.7,4.1,52.5,135,86,57,147.6,-40.1,-40.1,598.3,4.2,57.5,146.5,,,,,,,,,,88,56.8,141.7,-42.9,-42.8,621.5,4.4,56.4,139.8,94,37.8,99.8,-52.4,,597.66,,37.3,99,100,26.4,,-71.8,,400.67,,28,
3707/020,658 MISSION ST,658 MISSION ST,94105,23690,,"658 MISSION ST
SAN FRANCISCO, CA 94105
(37.786933, -122.401162)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3707/020,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0717/013,Cinema 7 Inc,895 OFARRELL ST,94109,12920,Movie Theater,"895 OFARRELL ST
SAN FRANCISCO, CA 94109
(37.784994, -122.419298)",Complied,,http://propertymap.sfplanning.org/?&search=0717/013,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,78.3,171.8,101.9,101.9,66.3,5.1,82.9,176.7,,91.1,195.7,130,130,83.3,6.4,96.6,201.6,,84.4,198.5,133.2,133.2,77.2,6,86.4,199.3,,92.4,218.6,156.8,156.8,84.8,6.6,98.5,225,,96.2,219.8,157.9,158.3,91.5,7.1,96.7,220.3,,,,,,,,,,,,,,,,,,
0165/022,717 BATTERY ST,717 BATTERY ST,94111,32667,,"717 BATTERY ST
SAN FRANCISCO, CA 94111
(37.797906, -122.400924)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0165/022,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2021-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7284/001,599 Skyline Blvd,599 Skyline Blvd,94132,67608,Other,"599 Skyline Blvd
SAN FRANCISCO, CA 94132
(37.710679, -122.498198)",Complied,,http://propertymap.sfplanning.org/?&search=7284/001,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,,,Complied,2015-04-01T00:00:00,,122,222,80.3,80.3,507.2,7.5,122,222,,172.4,274.5,122.9,122.9,720.7,10.7,172.9,276.1,,144.8,246.1,99.9,99.9,606.5,9,146.7,248.1,,137.8,244,98.2,98.2,586.2,8.7,142,248.4,,156.3,268.9,118.4,118.4,657.5,9.7,156.3,268.9,,,,,,,,,,,,,,,,,,
3735/008,282 2nd Street,606 FOLSOM ST,94105,35415,Office,"606 FOLSOM ST
SAN FRANCISCO, CA 94105
(37.785379, -122.396928)",Complied,,http://propertymap.sfplanning.org/?&search=3735/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,46,93.1,197.4,3.8,3.8,213.5,6,93.1,197.4,50,91.7,187.2,-0.2,-0.2,224.3,6.3,90.7,184.1,51,92.4,187.8,-1.4,-1.4,217.5,6.1,91.4,184.8,63,92.1,188.7,-13.8,-13.8,217.5,6.1,91.4,186.8,91,61.9,141.6,-46.4,-46.5,131,4.6,62,141.7,93,59.3,134.1,-49.7,,124.8,,60,136,,,,,,,,,
1079/003,Sinai Memorial Chapel,1501 DIVISADERO ST,94115,30226,Other,"1501 DIVISADERO ST
SAN FRANCISCO, CA 94115
(37.783662, -122.439601)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=1079/003,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,36.3,60,-51.2,-51.2,69,2.3,40.1,64,,34.4,57.8,-53.1,-53.1,64.1,2.1,37,60.5,,42.8,68.5,-44.4,-44.4,78.4,2.6,51.8,77.8,,41.1,64.8,-47.4,-47.4,74.9,2.5,38.1,61.5,,48.1,77.8,-31.3,,84.84,,45.9,74.4,,,,,,,,,
3786/015,Townsend Enterprises LP,350 TOWNSEND ST,94107,64000,Office,"350 TOWNSEND ST
SAN FRANCISCO, CA 94107
(37.776089, -122.396282)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3786/015,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2013-04-01T00:00:00,,,,,,,,,,100,14.2,44.4,-76.2,-76.2,78.6,1.2,14.2,44.4,100,17.4,54.5,-71.3,-71.3,90.6,1.4,16.8,52.9,,14.8,46.5,-68.6,-68.6,77.3,1.2,14.1,44.2,100,21.3,52.6,-71.5,-71.5,102.9,1.6,21.1,52,100,16,44.7,-76,,82.8,,16.2,45.5,100,16.2,,-75.5,,87.11,,15.8,
0056/C002,LPF 1725 Montgomery,1701 MONTGOMERY ST,94133,42989,Office,"1701 MONTGOMERY ST
SAN FRANCISCO, CA 94133
(37.805034, -122.405249)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0056/C002,Violation - Did Not Report,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Violation - Insufficient Data,,,,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,90,32.4,100.7,-47.7,-47.7,112.9,2.6,32.5,100.8,96,26,80.3,-56.8,-56.8,90.3,2.1,26,80.3,,,,,,,,,,100,16.1,50.5,-76.6,,61.77,,14.6,46.1,,,,,,,,,
1071/001,3 MASONIC AVE,3 MASONIC AVE,94118,14000,Supermarket/Grocery Store,"3 MASONIC AVE
SAN FRANCISCO, CA 94118
(37.783404, -122.447243)",Complied,,http://propertymap.sfplanning.org/?&search=1071/001,Complied,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,100,136.7,143.5,-72.1,-72.1,101.6,7.3,142,149.1,100,152.9,160.6,-67.9,-67.9,113.7,8.1,156.8,164.7,,,,,,,,,,9,287.9,666,38.8,38.8,310.9,20.2,302.9,681.7,13,297.1,663.8,32.2,32.2,315.9,20.6,290.2,656.6,,,,,,,,,,,,,,,,,,
3726/110,1023 MISSION ST,1023 MISSION ST,94103,15878,,"1023 MISSION ST
SAN FRANCISCO, CA 94103
(37.780457, -122.409359)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3726/110,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041/040,315 Bay,315 BAY ST,94133,20796,Office,"315 BAY ST
SAN FRANCISCO, CA 94133
(37.805766, -122.412426)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=0041/040,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,,,Complied,2013-04-01T00:00:00,,,,,,,,,,90,35,79.1,-44.4,-44.4,39.6,2.5,37.1,81.3,84,38.2,93.1,-36.2,-36.2,42.9,2.8,38.6,92.5,85,35.8,90.2,-37,-37,40.8,2.6,37.8,92.3,96,27.9,70,-56.7,-56.6,44.9,2.2,28.1,70.2,,,,,,,,,,,,,,,,,,
0021/001,400 NORTH POINT ST,400 NORTH POINT ST,94133,51656,Social/Meeting Hall,"400 NORTH POINT ST
SAN FRANCISCO, CA 94133
(37.806456, -122.414612)",Complied,,http://propertymap.sfplanning.org/?&search=0021/001,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,43,81,16,16,84.7,2.7,47.6,87.9,,44.5,81.9,17.3,17.3,86.9,2.7,52.1,92.7,,38.9,78.2,11.9,11.9,81.4,2.6,41.8,82.6,,34,70.9,1.5,1.5,72.3,2.3,40.5,81,,46.7,88.1,26.1,26.1,95.3,3,47.3,88.9,,,,,,,,,,,,,,,,,,
0311/007,88 Kearny Street Building,88 KEARNY ST,94104,262125,Office,"88 KEARNY ST
SAN FRANCISCO, CA 94104
(37.788749, -122.403634)",Complied,,http://propertymap.sfplanning.org/?&search=0311/007,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Exempt - ENERGY STAR,2012-11-15T00:00:00,91,43.9,120.2,-46.9,-46.9,780.6,3.1,44.7,121,89,45.2,125.3,-43.9,-43.9,909,3.7,46.1,126.2,87,49.2,134.5,-40.6,-40.6,930.3,3.7,48.7,132.9,85,51.6,138.4,-37.6,-37.6,966.4,3.9,51.5,136.9,83,53.1,141.1,-36,-36,1054.7,4.2,53.2,141.2,82,56.1,158.1,-34.1,,1147.74,,55.7,157.6,73,67.9,,-23.9,,1299.34,,68.3,
3788/041,665 Third Street,665 3RD ST,94107,134445,Office,"665 3RD ST
SAN FRANCISCO, CA 94107
(37.779312, -122.393349)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3788/041,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Tenant Turnover,Violation - Did Not Report,,Complied,,,,Complied,2013-04-01T00:00:00,,,,,,,,,,59,61.7,189.9,-10.2,-10.2,711.4,5.3,60.8,187.2,66,62.6,193.3,-17.4,-17.4,680.5,5.1,62.8,193.5,69,60.1,184,-20.3,-20.3,651,4.8,61.3,185.2,58,65.3,197.6,-8.7,-8.7,702.3,5.2,65.4,197.8,,,,,,,,,,,,,,,,,,
3722/078,San Francisco Museum of Modern Art,151 3RD ST,94103,486000,Museum,"151 3RD ST
SAN FRANCISCO, CA 94103
(37.785538, -122.401137)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3722/078,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,,,,,,,,,,,,,40.2,89.7,5.5,5.5,1409.2,2.9,40.2,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38039.4,,42455.2,,455977.48,,36588.4,
3952/001B,75 ARKANSAS ST,75 ARKANSAS ST,94107,19250,,"75 ARKANSAS ST
SAN FRANCISCO, CA 94107
(37.765365, -122.398711)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3952/001B,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0163/005,Westlake MOB,909 MONTGOMERY ST,94133,98913,Office,"909 MONTGOMERY ST
SAN FRANCISCO, CA 94133
(37.797551, -122.403736)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0163/005,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,77,53.2,157.7,-27.5,-27.5,357.6,4.2,52.9,156.7,77,51.1,154.7,-27.9,-27.9,347.3,4.1,50.6,152.8,79,50.1,153.1,-30.1,-30.1,342.2,4,50.1,153.1,61,62.7,205.4,-12.4,,414.45,,62.8,205.5,56,66.8,,-6.8,,442.88,,65.1,
0103/014,Dante Building,1600 STOCKTON ST,94133,15000,Office,"1600 STOCKTON ST
SAN FRANCISCO, CA 94133
(37.800633, -122.409217)",Complied,,http://propertymap.sfplanning.org/?&search=0103/014,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,52.7,125.1,-15.5,-15.5,53.3,3.6,56.1,128.8,,57.8,129.7,-12.4,-12.4,62.7,4.2,67.2,139.6,,57.7,126.7,,,59.5,4,61.4,130.6,,49.2,101,-31.8,-31.8,49.3,3.3,54.5,106.5,,81,149.6,1.1,1,80.6,5.4,81.6,150.2,,,,,,,,,,,,,,,,,,
3515/040,1690 FOLSOM ST,1690 FOLSOM ST,94103,57690,Retail Store,"1690 FOLSOM ST
SAN FRANCISCO, CA 94103
(37.77007, -122.415448)",Complied,,http://propertymap.sfplanning.org/?&search=3515/040,Exempt,Exempt - Tenant Turnover,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,,,Complied,2014-04-01T00:00:00,90,23.2,73,-49.9,-49.9,69.9,1.8,23.2,73,,,,,,,,,,39,52,163.2,14,14,168.2,4.2,52,163.2,38,51.3,161.2,15.4,15.4,166.1,4.2,51.3,161.2,63,40.6,127.5,-15.4,-15.4,141.7,3.6,40.6,127.5,58,43.4,136.4,-10,-9.8,151.6,3.8,43.4,136.4,56,44.9,141,-8,-7.9,156.6,3.9,44.3,139
3735/041,Crown Point Press,657 HOWARD ST,94105,29280,Manufacturing/Industrial Plant,"657 HOWARD ST
SAN FRANCISCO, CA 94105
(37.785714, -122.399578)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=3735/041,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,82.3,186.2,,,175,6,86,190.2,,81.5,182.9,,,165.4,5.7,84.2,185.7,,79.4,178.7,,,161.5,5.5,84.6,184.2,4,86.5,189.8,112.3,112.3,174,5.9,86.8,189.8,,200.4,448.2,326.3,,202.66,,201.5,452,,,,,,,,,
